артикул; название; url картинки; цена; цвет; размер
35247750451; 韩国代购2013冬装新款羊羔毛女装棉衣中长款加厚棉袄连帽毛领棉衣-淘宝网; ; 218,00; ; ; 
21574963893; 韩国代购partysu正品冬新款韩版修身呢子中长款羊毛呢大衣外套女-淘宝网; ; 168,00; ; ; 
19584185743; 韩国代购2013partysu秋装新款韩版宽松大码中长款气质风衣外套女-淘宝网; ; 188,00; ; ; 
